id,nombre,categoria,peso_politico,horizonte,resumen,actores_involucrados,responsable,fuente_nombre,fuente_url,fecha,nivel_relevancia,tipo,estado
huachicol-fiscal,Huachicol Fiscal,Seguridad Nacional,9,largo,"Red de contrabando fiscal de combustibles operada desde la Semar y aduanas de Tampico y Altamira desde 2025. Ha dejado más de 300 mil millones de pesos en afectación estimada, decenas de detenidos y al menos dos altos mandos navales procesados. En agosto de 2026 Sheinbaum declaró el problema 'prácticamente terminado', mientras la FGR mantiene investigaciones abiertas y Fernando Farías Laguna fue trasladado a México tras su detención en Argentina.",farias_fernando;farias_manuel;roberto_blanco_cantu;ernesto_ruffo;ojeda;riestra_fernandez;goicoechea;adan_augusto;andy;solano_ruiz;torres_joaquin;soto_picha;gonzalez_hemadi;tijerina_mendoza;sheinbaum;gertz;jesus_ramirez_cuevas,garcia_harfuch,Infobae,https://www.infobae.com/mexico/2026/08/21/buques-empresas-fantasma-y-servidores-publicos-corruptos-el-mapa-del-huachicol-fiscal-que-llevo-a-farias-laguna-al-altiplano/,21/08/2026,1,completo,activo
visa-de-andy,Visa de Andy,Relación Bilateral,8,corto,"Estados Unidos revocó en agosto de 2026 la visa de Andrés Manuel López Beltrán, hijo de AMLO, con versiones de que sus hermanos José Ramón y Gonzalo también fueron notificados. Sheinbaum calificó el hecho como 'injerencia' política; Andy acusó por carta a Marco Rubio y Christopher Landau. El caso se lee en Palacio Nacional como una señal dirigida al propio AMLO.",andy;amlo;sheinbaum;trump;rubio;landau,sheinbaum,El Universal (Mario Maldonado),https://www.eluniversal.com.mx/opinion/mario-maldonado/la-reaccion-de-sheinbaum-a-la-carta-de-andy/,17/08/2026,1,completo,cerrado
visas-politicos-eeuu,Revocación de Visas a Políticos Mexicanos,Relación Bilateral,8,largo,"El gobierno de Trump ha revocado la visa estadounidense de al menos 50 políticos y funcionarios mexicanos señalados por presuntos vínculos con el narcotráfico, según Reuters, incluyendo a la gobernadora de Baja California Marina del Pilar Ávila y, en agosto de 2026, a Andy López Beltrán. La lista completa no ha sido confirmada públicamente.",marina_pilar;trump;sheinbaum;andy;rubio;sergio_salomon,trump,ProPublica,https://www.propublica.org/article/trump-mexico-travel-visa-restrictions-politicians-sheinbaum,01/01/2026,1,completo,activo
reconfiguracion-gabinete-2026,Reconfiguración del Gabinete 2026,Gobernabilidad,7,mediano,"Sheinbaum ha acelerado desde finales de 2025 una reorganización de su gabinete legal y ampliado -al menos 15 relevos entre secretarías y organismos descentralizados- en áreas como relaciones exteriores, hacienda, bienestar y consejería jurídica, leída como antesala de la estrategia electoral 2027.",sheinbaum;velasco;godoy;montiel;gertz,sheinbaum,Diario Basta!,https://diariobasta.com/2026/05/03/ajusta-sheinbaum-piezas-clave-del-gabinete/,03/05/2026,3,completo,cerrado
relevos-morena-2027,Relevos de Morena rumbo a 2027,Gobernabilidad,7,mediano,"Movimientos de perfiles clave de Sheinbaum hacia la estructura partidista de Morena -como Ariadna Montiel al frente del CEN- buscan fortalecer al partido de cara al proceso electoral de 2027, donde se disputarán 17 gubernaturas y 500 diputaciones federales.",montiel;monreal;adan_augusto;sheinbaum,montiel,Expansión Política,https://politica.expansion.mx/mexico/2026/04/29/cambios-gabinete-sheinbaum-para-tomar-control-en-morena,29/04/2026,3,completo,activo
tmec-revision,Revisión del T-MEC,Economía,8,mediano,"México negocia la revisión del T-MEC en un proceso crítico para la relación comercial con Estados Unidos y Canadá; la Secretaría de Economía, encabezada por Marcelo Ebrard, coordina la negociación con apoyo de asesores especializados en temas agroalimentarios.",ebrard;sheinbaum,ebrard,La Silla Rota,https://lasillarota.com/nacion/2026/5/1/gobierno-de-claudia-sheinbaum-estos-son-los-cambios-que-ha-habido-en-su-gabinete-592962.html,01/05/2026,1,completo,activo
curp-biometrica,CURP Biométrica y Control Digital,Social,6,mediano,"El gobierno de Sheinbaum aprobó un paquete de leyes que centralizan el control digital y establecen la CURP biométrica como identificación oficial, en sustitución gradual de la credencial de elector, lo que generó debate sobre vigilancia y protección de datos.",sheinbaum,sheinbaum,Madison Intelligence,https://madisonintelligence.substack.com/p/9-de-julio-2025,09/07/2025,3,completo,cerrado
reforma-fiscal-2026,Reforma Fiscal Integral,Economía,6,mediano,"Morena anunció el análisis de una reforma fiscal integral orientada a mejorar la recaudación sin incrementar impuestos, como parte de la discusión presupuestal para 2026.",monreal;sheinbaum,monreal,Madison Intelligence,https://madisonintelligence.substack.com/p/9-de-julio-2025,09/07/2025,3,completo,activo
carlos-manzo,Asesinato de Carlos Manzo,Seguridad Nacional,9,largo,"El presidente municipal independiente de Uruapan, Carlos Manzo, crítico frontal del crimen organizado, fue asesinado a tiros el 1 de noviembre de 2025 durante el Festival de las Velas. El caso detonó protestas nacionales y el Plan Michoacán por la Paz y la Justicia, con más de 57 mil millones de pesos de inversión federal y 5,000 elementos de Guardia Nacional y Sedena desplegados. Al 21 de agosto de 2026 hay 31 personas detenidas y la investigación sigue activa.",manzo;sheinbaum;garcia_harfuch,garcia_harfuch,Cultura Colectiva,https://news.culturacolectiva.com/noticias/mexico/quien-es-carlos-manzo/,30/07/2026,1,completo,activo
rocha-moya-acusacion,Acusación de Narcotráfico contra Rocha Moya,Seguridad Nacional,9,mediano,"Fiscales federales del Distrito Sur de Nueva York acusaron el 29 de abril de 2026 al gobernador de Sinaloa, Rubén Rocha Moya, y a otros nueve funcionarios de ayudar al Cártel de Sinaloa a traficar drogas a cambio de sobornos y apoyo político, incluyendo una presunta reunión con hijos de 'El Chapo' antes de las elecciones de 2021. Rocha se separó del cargo, compareció como testigo ante la FGR y se reincorporó como gobernador el 21 de agosto de 2026 tras 112 días sin que la Fiscalía mexicana hallara pruebas en su contra. Es el funcionario de más alto rango de Morena acusado formalmente por la justicia estadounidense.",rocha_moya;sheinbaum;amlo;enrique_inzunza;juan_gamez;gerardo_merida;enrique_diaz_vega;damaso_castro;marco_almanzar;alito,rocha_moya,CNN en Español,https://cnnespanol.cnn.com/2026/08/21/mexico/rocha-moya-retoma-gobierno-de-sinaloa-tras-ser-acusado-por-eeuu-de-presuntos-vinculos-con-el-narco-y-los-chapitos/,21/08/2026,1,completo,activo
lista-periodistas,"Lista de Periodistas (""Derecho de Réplica"")",Social,7,corto,"El 12 de agosto de 2026, la consejera jurídica de la Presidencia, Luisa María Alcalde, proyectó en la mañanera una presentación con 54 cuentas de medios, periodistas y comentaristas críticos al gobierno, dentro del segmento 'Derecho de Réplica'. Sheinbaum defendió el ejercicio como una explicación de cómo operan las redes sociales, no como una lista negra, aunque el 18 de agosto aceptó que 'ya no se digan estos nombres' tras las críticas de organizaciones de prensa y analistas que advirtieron riesgo de estigmatización.",luisa_maria_alcalde;sheinbaum,luisa_maria_alcalde,El Financiero,https://www.elfinanciero.com.mx/nacional/2026/08/14/sheinbaum-niega-que-4t-persiga-a-periodistas-no-son-listas-son-ejemplos/,14/08/2026,2,completo,cerrado
intervencion-militar-eeuu,Amenazas de Intervención Militar de Trump,Relación Bilateral,8,largo,"Trump ha amenazado en repetidas ocasiones (mayo y agosto de 2026, entre otras) con atacar cárteles mexicanos en territorio nacional si el gobierno de Sheinbaum 'no hace la tarea', llegando a declarar que 'los cárteles gobiernan México'. Sheinbaum ha rechazado sistemáticamente cualquier despliegue de tropas estadounidenses, calificándolo como no negociable para la soberanía nacional, mientras exige a Washington frenar el tráfico de armas hacia México.",trump;sheinbaum;rubio,sheinbaum,El Informador,https://www.informador.mx/mexico/reconozcan-su-problema-sheinbaum-frena-a-trump-tras-amenaza-de-intervencion-militar-en-mexico-20260507-0059.html,07/05/2026,1,completo,activo
