nucleo_id,satelite_id,nivel,etiqueta_nivel,categoria
sheinbaum,garcia_harfuch,1,Núcleo de máxima cercanía,Político/Institucional
sheinbaum,rosa_icela,1,Núcleo de máxima cercanía,Político/Institucional
sheinbaum,lazaro_cardenas_batel,1,Núcleo de máxima cercanía,Operadores/Confianza
sheinbaum,luz_elena_gonzalez_escobar,1,Núcleo de máxima cercanía,Político/Institucional
sheinbaum,altagracia_gomez_sierra,1,Núcleo de máxima cercanía,Operadores/Confianza
sheinbaum,montiel,1,Núcleo de máxima cercanía,Operadores/Confianza
sheinbaum,sergio_salomon,2,Alta cercanía / peso operativo,Operadores/Confianza
sheinbaum,ebrard,2,Alta cercanía / peso operativo,Político/Institucional
sheinbaum,mario_delgado,2,Alta cercanía / peso operativo,Político/Institucional
sheinbaum,godoy,2,Alta cercanía / peso operativo,Político/Institucional
sheinbaum,jose_antonio_pena_merino,2,Alta cercanía / peso operativo,Operadores/Confianza
sheinbaum,velasco,2,Alta cercanía / peso operativo,Político/Institucional
sheinbaum,luisa_maria_alcalde,2,Alta cercanía / peso operativo,Político/Institucional
sheinbaum,citlalli,3,Red ampliada / aliados,Político/Institucional
sheinbaum,alfonso_durazo,3,Red ampliada / aliados,Político/Institucional
sheinbaum,clara_brugada_molina,3,Red ampliada / aliados,Político/Institucional
amlo,andy,1,Núcleo de máxima cercanía,Familiar
amlo,adan_augusto,1,Núcleo de máxima cercanía,Político/Institucional
amlo,rosa_icela,1,Núcleo de máxima cercanía,Político/Institucional
amlo,godoy,1,Núcleo de máxima cercanía,Político/Institucional
amlo,jose_ramon_lopez_beltran,1,Núcleo de máxima cercanía,Familiar
amlo,gonzalo_lopez_beltran,1,Núcleo de máxima cercanía,Familiar
amlo,rocha_moya,2,Alta cercanía / peso operativo,Político/Institucional
amlo,jesus_ramirez_cuevas,2,Alta cercanía / peso operativo,Operadores/Confianza
amlo,rafael_marin_mollinedo,2,Alta cercanía / peso operativo,Operadores/Confianza
amlo,octavio_romero_oropeza,2,Alta cercanía / peso operativo,Operadores/Confianza
amlo,clara_brugada_molina,3,Red ampliada / aliados,Político/Institucional
amlo,rocio_nahle_garcia,3,Red ampliada / aliados,Político/Institucional
amlo,ignacio_mier_velazco,3,Red ampliada / aliados,Político/Institucional
amlo,layda_sansores_san_roman,3,Red ampliada / aliados,Político/Institucional
trump,jd_vance,1,Núcleo de máxima cercanía,Político/Institucional
trump,rubio,1,"Núcleo de máxima cercanía — Secretario de Estado, opera y es de máxima confianza personal de Trump",Político/Institucional
trump,landau,1,Núcleo de máxima cercanía,Político/Institucional
trump,ronald_johnson,1,Núcleo de máxima cercanía,Político/Institucional
trump,pete_hegseth,1,Núcleo de máxima cercanía,Político/Institucional
trump,stephen_miller,2,Alta cercanía / peso operativo,Político/Institucional
trump,howard_lutnick,2,Alta cercanía / peso operativo,Político/Institucional
trump,jamieson_greer,2,Alta cercanía / peso operativo,Político/Institucional
trump,steve_witkoff,3,Red ampliada / aliados,Político/Institucional
trump,terrance_cole,3,Red ampliada / aliados,Político/Institucional
garcia_harfuch,sheinbaum,1,Núcleo de máxima cercanía,Político/Institucional
garcia_harfuch,francisco_almazan_barocio,1,Núcleo de máxima cercanía,Operadores/Confianza
garcia_harfuch,francisco_javier_moreno_montano,1,Núcleo de máxima cercanía,Operadores/Confianza
garcia_harfuch,pablo_vazquez_camacho,1,Núcleo de máxima cercanía,Operadores/Confianza
garcia_harfuch,marcela_figueroa_franco,2,Alta cercanía / peso operativo,Operadores/Confianza
garcia_harfuch,omar_reyes_colmenares,2,Alta cercanía / peso operativo,Operadores/Confianza
garcia_harfuch,israel_benitez_lopez,2,Alta cercanía / peso operativo,Operadores/Confianza
garcia_harfuch,rosa_icela,2,Alta cercanía / peso operativo,Político/Institucional
garcia_harfuch,ricardo_trevilla_trejo,3,Red ampliada / aliados,Político/Institucional
garcia_harfuch,raymundo_pedro_morales_angeles,3,Red ampliada / aliados,Político/Institucional
garcia_harfuch,luis_rodriguez_bucio,3,Red ampliada / aliados,Político/Institucional
rosa_icela,sheinbaum,1,Núcleo de máxima cercanía,Político/Institucional
rosa_icela,amlo,1,Núcleo de máxima cercanía,Político/Institucional
rosa_icela,garcia_harfuch,1,Núcleo de máxima cercanía,Político/Institucional
rosa_icela,godoy,1,Núcleo de máxima cercanía,Político/Institucional
rosa_icela,leticia_ramirez_amaya,1,Núcleo de máxima cercanía,Político/Institucional
rosa_icela,luisa_maria_alcalde,2,Alta cercanía / peso operativo,Político/Institucional
rosa_icela,mario_delgado,2,Alta cercanía / peso operativo,Político/Institucional
rosa_icela,clara_brugada_molina,2,Alta cercanía / peso operativo,Político/Institucional
rosa_icela,adan_augusto,2,Alta cercanía / peso operativo,Político/Institucional
rosa_icela,montiel,3,Red ampliada / aliados,Político/Institucional
rosa_icela,citlalli,3,Red ampliada / aliados,Político/Institucional
rosa_icela,ricardo_trevilla_trejo,3,Red ampliada / aliados,Político/Institucional
rosa_icela,raymundo_pedro_morales_angeles,3,Red ampliada / aliados,Político/Institucional
godoy,sheinbaum,1,Núcleo de máxima cercanía,Político/Institucional
godoy,garcia_harfuch,1,Núcleo de máxima cercanía,Político/Institucional
godoy,rosa_icela,1,Núcleo de máxima cercanía,Político/Institucional
godoy,ulises_lara_lopez,1,Núcleo de máxima cercanía,Operadores/Confianza
godoy,arturo_zaldivar_lelo_de_larrea,2,Alta cercanía / peso operativo,Político/Institucional
godoy,pablo_gomez_alvarez,2,Alta cercanía / peso operativo,Político/Institucional
godoy,leticia_ramirez_amaya,2,Alta cercanía / peso operativo,Político/Institucional
godoy,luisa_maria_alcalde,2,Alta cercanía / peso operativo,Político/Institucional
godoy,clara_brugada_molina,3,Red ampliada / aliados,Político/Institucional
godoy,pablo_vazquez_camacho,3,Red ampliada / aliados,Operadores/Confianza
godoy,marcela_figueroa_franco,3,Red ampliada / aliados,Operadores/Confianza
ebrard,sheinbaum,1,Núcleo de máxima cercanía,Político/Institucional
ebrard,velasco,1,Núcleo de máxima cercanía,Político/Institucional
ebrard,luis_rosendo_gutierrez_romano,1,Núcleo de máxima cercanía,Operadores/Confianza
ebrard,ximena_escobedo_juarez,1,Núcleo de máxima cercanía,Operadores/Confianza
ebrard,martha_delgado_peralta,2,Alta cercanía / peso operativo,Operadores/Confianza
ebrard,malu_micher_camarena,2,Alta cercanía / peso operativo,Operadores/Confianza
ebrard,jesus_valdes_pena,2,Alta cercanía / peso operativo,Operadores/Confianza
ebrard,vidal_llerenas_morales,2,Alta cercanía / peso operativo,Operadores/Confianza
ebrard,amlo,3,Red ampliada / aliados,Político/Institucional
montiel,sheinbaum,1,Núcleo de máxima cercanía,Político/Institucional
montiel,amlo,1,Núcleo de máxima cercanía,Político/Institucional
montiel,citlalli,1,Núcleo de máxima cercanía,Político/Institucional
montiel,gabriel_garcia_hernandez,1,Núcleo de máxima cercanía,Operadores/Confianza
montiel,luisa_maria_alcalde,2,Alta cercanía / peso operativo,Político/Institucional
montiel,andy,2,Alta cercanía / peso operativo,Político/Institucional
montiel,carlos_torres_rosas,2,Alta cercanía / peso operativo,Operadores/Confianza
montiel,leticia_ramirez_amaya,2,Alta cercanía / peso operativo,Político/Institucional
montiel,rosa_icela,3,Red ampliada / aliados,Político/Institucional
montiel,clara_brugada_molina,3,Red ampliada / aliados,Político/Institucional
montiel,mario_delgado,3,Red ampliada / aliados,Político/Institucional
andy,amlo,1,Núcleo de máxima cercanía,Familiar
andy,jose_ramon_lopez_beltran,1,Núcleo de máxima cercanía,Familiar
andy,gonzalo_lopez_beltran,1,Núcleo de máxima cercanía,Familiar
andy,daniel_asaf_manjarrez,1,Núcleo de máxima cercanía,Operadores/Confianza
andy,amilcar_olan_aparicio,2,Alta cercanía / peso operativo,Empresarial
andy,alex_tonatiuh_marquez_hernandez,2,Alta cercanía / peso operativo,Político/Institucional
andy,mario_mabarak,2,Alta cercanía / peso operativo,Operadores/Confianza
andy,ricardo_pacheco,2,Alta cercanía / peso operativo,Operadores/Confianza
andy,adan_augusto,2,Alta cercanía / peso operativo,Político/Institucional
andy,montiel,3,Red ampliada / aliados,Político/Institucional
andy,citlalli,3,Red ampliada / aliados,Político/Institucional
andy,luisa_maria_alcalde,3,Red ampliada / aliados,Político/Institucional
andy,rocha_moya,3,Red ampliada / aliados,Político/Institucional
luisa_maria_alcalde,amlo,1,Núcleo de máxima cercanía,Político/Institucional
luisa_maria_alcalde,sheinbaum,1,Núcleo de máxima cercanía,Político/Institucional
luisa_maria_alcalde,bertha_lujan_uranga,1,Núcleo de máxima cercanía,Familiar
